id,menu_id,name,description,price,image_url,created_at,profile_image_url,status
182,b2cb9cf0-7dce-4eaf-a1f7-36f8b31a5665,"Sweet and Sour Chicken ","Chicken and sauce with pineapple ",9818,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1749135960376.jpeg,2024-12-03 14:16:32.524079,,available
181,b2cb9cf0-7dce-4eaf-a1f7-36f8b31a5665,"PJ butter chicken ",Blended mix vegetables and chicken with milk or cream,11550,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1733235285929.jpeg,2024-12-03 14:14:49.615236,,available
91,b2cb9cf0-7dce-4eaf-a1f7-36f8b31a5665,"CHICKEN IN RED CHILI SAUCE ","Chinese sauces, red bell pepper, onions, carrots, diced chicken breast, seasoning ",9240,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1726054994356.jpeg,2024-09-11 11:43:24.313022,,available
93,b2cb9cf0-7dce-4eaf-a1f7-36f8b31a5665,"SHREDDED BEEF IN OYSTER SAUCE ","Oyster sauce, steak beef, red bell pepper? Carrot, onions",9240,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1726055215465.jpeg,2024-09-11 11:47:54.126597,,available
146,b2cb9cf0-7dce-4eaf-a1f7-36f8b31a5665,SHRIMP FRIED RICE,"Shrimps, rice, vegetables, egg and Chinese seasoning ",11550,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1727107710616.jpeg,2024-09-23 16:04:58.878788,,available
140,b2cb9cf0-7dce-4eaf-a1f7-36f8b31a5665,"PINEAPPLE CHICKEN FRIED RICE ","Diced chicken, vegetables, pineapples and Chinese seasoning",10000,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1726688385025.jpeg,2024-09-18 19:39:48.28266,,available
133,b2cb9cf0-7dce-4eaf-a1f7-36f8b31a5665,"CHINESE CHICKEN FRIED RICE ","Basmati rice, vegetables diced chicken Chinese seasoning ",8085,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1726688181307.jpeg,2024-09-18 19:36:41.126717,,available
106,b2cb9cf0-7dce-4eaf-a1f7-36f8b31a5665,"CHICKEN SINGAPORE NOODLES ","Diced chicken, rice noodles, vegetables and Chinese seasoning ",8085,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1726687790204.jpeg,2024-09-18 19:30:18.670272,,available
105,b2cb9cf0-7dce-4eaf-a1f7-36f8b31a5665,"STEAK SINGAPORE NOODLES ","Rice noodles, steak meat, vegetables and Chinese seasoning ",8085,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1726684772073.jpeg,2024-09-18 18:40:29.914266,,available
179,c1e1f4ee-6a11-42ff-841d-51c9be7fb016,Creamy Chicken pasta soup,"Cream, vegetable, chicken and more",9817,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1733234736559.jpeg,2024-12-03 14:05:41.126158,,available
177,c1e1f4ee-6a11-42ff-841d-51c9be7fb016,Chicken Pepper Soup,"Chicken soup ",6930,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1733234417781.jpeg,2024-12-03 14:00:21.322144,,available
178,c1e1f4ee-6a11-42ff-841d-51c9be7fb016,"FISH PEPPER SOUP ",Fish sou,8085,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1733234556183.jpeg,2024-12-03 14:02:40.713529,,available
175,c3b830a1-bc65-4335-a91d-149287e503e9,"CHICKEN SPRING ROLLS ","Chicken and veggetables ",4042,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1732976587219.jpeg,2024-11-30 14:23:12.545586,,available
89,c3b830a1-bc65-4335-a91d-149287e503e9,"SMALL CHOPS ","Spring roll, samosa, chicken wing, puff puff ",5776,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1726054450544.jpeg,2024-09-11 11:34:19.092709,,available
37,c3b830a1-bc65-4335-a91d-149287e503e9,SPICY CHICKEN WING,"Chicken wings, chef special pepper sauce",5775,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1725731398542.jpg,2024-09-07 17:50:02.668086,,available
47,c3b830a1-bc65-4335-a91d-149287e503e9,"PUFF PUFF ","White flour, yeast, sugar, salt etc serve with home made caramel sauce ",3465,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1725970146890.jpeg,2024-09-10 12:09:31.333795,,available
39,c3b830a1-bc65-4335-a91d-149287e503e9,"SPICY GOAT MEAT ","Seasoned grilled goat meat with Chef special pepper sauce ",5775,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1725969885842.jpeg,2024-09-10 12:04:52.151485,,available
156,c7c4a2ad-ad0b-49ca-b41a-a5d2752579de,"SPECIAL MILKSHAKE ","Mix cookies, ice cream, milk ",6352,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1727108548752.jpeg,2024-09-23 16:22:54.597567,,available
155,c7c4a2ad-ad0b-49ca-b41a-a5d2752579de,"OREOS MILKSHAKE ","Oreos, ice cream, milk ",5775,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1727108321233.jpeg,2024-09-23 16:18:46.018917,,available
154,c7c4a2ad-ad0b-49ca-b41a-a5d2752579de,"BANANA MILKSHAKE ","Banana, ice cream, milk ",5775,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1727108158554.jpeg,2024-09-23 16:16:03.251615,,available
192,ccd7c908-952c-4c4d-9920-e644756df384,"OGBONO SOUP ","Ogbono ",2000,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1749137097790.jpeg,2025-06-05 15:25:00.630261,,available
193,ccd7c908-952c-4c4d-9920-e644756df384,POUDO YAM,"Yam flour ",1000,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1749137142686.jpeg,2025-06-05 15:25:44.762739,,available
191,ccd7c908-952c-4c4d-9920-e644756df384,"EGUSI SOUP ","Egusi soup ",2000,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1749137068209.jpeg,2025-06-05 15:19:01.306847,,available
70,d192dfa1-d267-4305-8d12-6e3d61f25e85,"BEEF SHAWARMA ","Lettuce, tomatoes, cucumbers, cream and grilled steak beef ",4966,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1725975483621.jpeg,2024-09-10 13:38:06.152172,,available
76,d192dfa1-d267-4305-8d12-6e3d61f25e85,"CHICKEN SHAWARMA ","Lettuce, tomatoes, cucumbers, steak beef, cream",4966,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1725975653032.jpeg,2024-09-10 13:40:55.414933,,available
50,dcf78606-77eb-4d55-b23c-26f78624fb52,"CHICKEN SALAD ","Lettuce, tomatoes, cucumbers, grilled chicken breast, Chef special salad sauce",8085,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1749135283108.jpeg,2024-09-10 12:40:31.208629,,available
176,dcf78606-77eb-4d55-b23c-26f78624fb52,CHICKEN CAESER SALAD,"Lettuce, chicken, bread crotons, and salad dressing ",8085,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1732976744605.jpeg,2024-11-30 14:25:49.312757,,available
180,dcf78606-77eb-4d55-b23c-26f78624fb52,Chef Special Salad,"Mix vegetables, chicken and pasta",9817,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1733234930434.jpeg,2024-12-03 14:08:54.79158,,available
170,efa29e4f-6a65-466a-9ddc-ef1860eeeb94,"SAMOSA ","Samosa ",3000,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/889cfa6c-f56a-4efc-b154-dd3008127511-1727195082608.jpg,2024-09-24 16:24:47.116703,,available
